id,startOfWeek,chickenOrder,fishOrder,saladOrder
1,2024-01-01,44,66,10
2,2024-01-08,44,62,14
3,2024-01-15,28,77,15
4,2024-01-22,33,78,9
5,2024-01-29,33,79,8
6,2024-02-05,27,80,13
7,2024-02-12,23,85,12
8,2024-02-19,13,100,7
9,2024-02-26,0,120,9
10,2024-03-04,1,110,10
11,2024-03-11,9,99,12
12,2024-03-18,12,95,13
13,2024-03-25,20,85,15
14,2024-04-01,18,82,20
15,2024-04-08,14,77,29
16,2024-04-15,11,74,35
17,2024-04-22,22,66,32
18,2024-04-29,18,71,31
19,2024-05-06,24,56,40
20,2024-05-13,25,50,45
21,2024-05-20,22,49,49
22,2024-05-27,19,51,51
23,2024-06-03,3,48,70
24,2024-06-10,14,47,59
25,2024-06-17,14,46,60
26,2024-06-24,15,43,63
27,2024-07-01,9,46,65
28,2024-07-08,9,43,69
29,2024-07-15,6,49,70
30,2024-07-22,11,50,59
31,2024-07-29,13,45,62
32,2024-08-05,13,43,64
33,2024-08-12,14,42,70
34,2024-08-19,22,39,59
35,2024-08-26,25,40,55
36,2024-09-02,18,49,52
37,2024-09-09,19,50,51
38,2024-09-16,19,52,49
39,2024-09-23,16,59,45
40,2024-09-30,18,60,42
41,2024-10-07,15,62,40
42,2024-10-14,16,70,39
43,2024-10-21,25,74,30
44,2024-10-28,26,73,19
45,2024-11-04,27,75,20
46,2024-11-11,20,76,21
47,2024-11-18,23,80,24
48,2024-11-25,19,90,13
49,2024-12-02,22,89,9
50,2024-12-09,25,90,5
51,2024-12-16,18,100,6
52,2024-12-23,14,99,3
53,2024-12-30,12,102,0
54,2025-01-06,11,103,5
55,2025-01-13,5,105,10
56,2025-01-20,0,107,13
57,2025-01-27,2,109,9
58,2025-02-03,1,110,12
59,2025-02-10,1,120,7
60,2025-02-17,0,130,9
61,2025-02-24,2,120,10
62,2025-03-03,5,117,14
63,2025-03-10,6,99,15
64,2025-03-17,8,95,20
65,2025-03-24,10,89,24
66,2025-03-31,5,82,29
67,2025-04-07,12,82,34
68,2025-04-14,19,76,33
69,2025-04-21,20,67,31
70,2025-04-28,16,73,40
71,2025-05-05,20,54,45
72,2025-05-12,24,51,42
73,2025-05-19,21,49,51
74,2025-05-26,12,53,67
75,2025-06-02,14,47,70
76,2025-06-09,15,48,58
77,2025-06-16,16,45,59
78,2025-06-23,21,43,57
79,2025-06-30,14,44,60
80,2025-07-07,16,43,62
81,2025-07-14,9,50,60
82,2025-07-21,5,52,73
83,2025-07-28,6,46,69
84,2025-08-04,20,41,52
85,2025-08-11,25,39,53
86,2025-08-18,30,41,49
87,2025-08-25,34,48,43
88,2025-09-01,29,50,39
89,2025-09-08,30,55,37
90,2025-09-15,32,59,34
91,2025-09-22,30,60,32
92,2025-09-29,32,63,31
93,2025-10-06,25,65,30
94,2025-10-13,29,69,27
95,2025-10-20,30,71,25
96,2025-10-27,31,75,21
97,2025-11-03,29,72,19
98,2025-11-10,27,77,15
99,2025-11-17,21,80,10
100,2025-11-24,22,83,5
